Industry_Sector,Production_Volume_tons,Energy_Source,Fuel_Consumption_GJ,Emission_Factor_kgCO2_per_GJ,Location_Region,Year,Process_Type,Efficiency_GJ_per_ton,Total_CO2_Emissions_MtCO2,Emission_Intensity_kgCO2_per_ton
Power,62726.46323307927,Coal,369582.1326181623,81.23265247613058,India-North,2023.0,Chemical Reaction,5.001402816247985,0.030022136940358386,478.61995389094386
Oil & Gas,16296.659990230924,Oil,281607.16573468415,94.5006660372189,India-East,2022.0,Chemical Reaction,5.200457425305457,0.026612064722781145,1632.9766184441362
Chemicals,40899.49557852055,,187833.62636704784,93.72670702138117,India-South,2017.0,Mixed Process,3.722734753002241,0.017605027267267873,430.4460731910253
Oil & Gas,53169.25538419209,Electricity,193014.6559982132,,India-Central,2015.0,Combustion,5.538560313356846,0.014598584392512886,274.5681557325934
,68001.18434640292,Electricity,,67.21553388569463,India-South,2019.0,Chemical Reaction,1.7161024093237978,0.016860807812424182,247.948737576893
Steel,42621.46328740692,Electricity,248218.65490895833,,India-Central,2017.0,Chemical Reaction,3.8434729588024563,0.01949808642647538,
Chemicals,21851.709409371888,Coal,142587.42935706142,75.76667255096382,India-Central,2019.0,Chemical Reaction,5.092997230155293,0.010803375069980158,494.3949632309655
Chemicals,59295.67168949205,Electricity,217852.3181132144,81.91707577355966,India-Central,2023.0,Mixed Process,5.595189976422034,0.01784582485032581,300.9633644724918
Chemicals,40469.56416761556,Biomass,166847.38829939882,65.4828028338586,India-West,2015.0,Combustion,5.408576825177373,0.010925634631353778,269.9716405667808
Oil & Gas,32155.00011364458,Oil,209131.9868789648,68.99748543252711,India-South,2015.0,Chemical Reaction,5.616512312587016,0.014429581218156825,448.75077490775095
Power,40634.81915430164,Electricity,197119.21201154892,71.72543878715824,India-East,2023.0,Chemical Reaction,4.708202247439454,0.014138461974907219,347.9395815992086
Chemicals,,Oil,261058.668334626,84.9969636189819,,2017.0,Mixed Process,4.354374154337424,0.022189194134858068,469.7903525451604
Fertilizer,40928.83003192681,Natural Gas,183903.38472053324,86.9876920075769,India-East,2024.0,,2.2463579618732847,0.015997330989220668,390.85727534214493
,,Natural Gas,207099.04907365257,68.52656338698021,India-South,,Chemical Reaction,4.2095381208005005,0.014191786113728979,838.9311289540087
Steel,63455.99295330698,Electricity,87314.48996701998,57.73523728614262,India-North,2023.0,Mixed Process,,0.005041122796764418,79.44281638574063
Power,69123.12561918084,Oil,219419.17574919693,80.43960938252137,India-East,2019.0,Mixed Process,5.239541229385921,0.017649992788300206,255.34135833988594
